户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,91.85,东西,高,简装修,2005,无 ,商品房,普通住宅,平层,钢混,城关,1,108.0,11758.0
2室1厅1卫,78.0,南北,中,中装修,2000,无 ,商品房,,平层,,城关,1,85.0,10897.0
3室2厅2卫,135.0,南北,中,,,有 ,,,,,新区,0,67.0,4963.0
2室1厅1卫,58.0,南北,低,简装修,,有 ,个人产权,普通住宅,平层,板楼,城关,0,75.0,12931.0
2室2厅1卫,82.0,南北,中,简装修,2003,无 ,个人产权,普通住宅,平层,钢混,城关,1,92.0,11220.0
3室2厅2卫,103.0,东,中,,,有 ,,,,,红古,0,58.0,5631.0
2室2厅1卫,105.0,南北,高,,,有 ,,,,,安宁,0,86.0,8190.0
2室2厅1卫,85.0,南北,中,,,有 ,,,,,西固,0,84.0,9882.0
3室2厅1卫,108.48,南北,低,中装修,2006,有 ,个人产权,普通住宅,平层,钢混,城关,1,173.0,15948.0
2室1厅1卫,85.77,南北,高,简装修,2002,有 ,个人产权,普通住宅,平层,板楼,城关,1,76.0,8861.0
2室1厅1卫,115.6,南,低,,,无 ,,,,,七里河,0,100.0,8651.0
3室2厅2卫,131.18,南北,中,毛坯,2015,有 ,个人产权,普通住宅,平层,板楼,安宁,0,179.8,13706.0
2室1厅1卫,69.0,南北,低,精装修,2008,有 ,个人产权,普通住宅,平层,板楼,城关,1,90.0,13043.0
2室1厅1卫,75.0,南北,高,简装修,2005,无 ,商品房,普通住宅,平层,板楼,城关,1,95.0,12667.0
3室2厅2卫,133.0,南,高,简装修,2010,有 ,商品房,普通住宅,平层,板楼,城关,1,155.0,11654.0
2室1厅1卫,110.0,南北,高,,,有 ,,,,,城关,0,90.0,8182.0
3室2厅1卫,103.0,南北,高,简装修,2002,无 ,个人产权,普通住宅,平层,板楼,城关,1,130.0,12621.0
2室2厅1卫,120.0,南北,低,简装修,2005,无 ,房改房,普通住宅,平层,,城关,0,160.0,13333.0
2室2厅1卫,95.57,东西,高,中装修,2000,无 ,商品房,普通住宅,平层,,城关,0,119.0,12452.0
2室1厅1卫,60.0,北,高,简装修,2009,无 ,普通商品房,普通住宅,平层,板楼,城关,1,116.0,19333.0
2室2厅1卫,107.0,南,高,精装修,2012,有 ,个人产权,普通住宅,平层,板楼,城关,0,155.0,14486.0
2室1厅1卫,80.0,南北,中,精装修,2004,有 ,个人产权,普通住宅,平层,板楼,城关,1,83.0,10375.0
2室2厅1卫,93.8,南,高,精装修,2008,无 ,个人产权,普通住宅,平层,砖混,城关,1,136.0,14499.0
3室2厅3卫,185.0,南北,低,豪华装修,2017,有 ,个人产权,普通住宅,平层,塔板结合,城关,0,200.0,10811.0
2室2厅1卫,105.43,东北,高,简装修,2008,有 ,商品房,,,板楼,城关,1,181.0,17168.0
2室1厅1卫,92.81,南,低,精装修,2002,有 ,商品房,普通住宅,平层,平房,城关,1,108.0,11637.0
3室1厅1卫,88.8,南北,高,,,有 ,,,,,城关,1,96.0,10811.0
3室2厅2卫,128.34,南北,低,简装修,2008,有 ,个人产权,普通住宅,平层,塔楼,城关,1,156.0,12155.0
3室1厅1卫,80.0,南北,低,精装修,2003,无 ,个人产权,普通住宅,平层,砖混,城关,0,88.0,11000.0
1室1厅1卫,60.0,东,低,毛坯,2000,有 ,商品房,普通住宅,,板楼,城关,1,93.0,15500.0
3室2厅1卫,94.66,南,中,毛坯,,有 ,商品房,普通住宅,平层,,安宁,0,115.0,12149.0
2室2厅1卫,109.0,南北,低,精装修,2003,无 ,商品房,普通住宅,平层,钢混,城关,1,138.0,12661.0
3室1厅1卫,95.0,北,高,,,有 ,,,,,城关,0,97.0,10211.0
2室2厅1卫,71.0,南北,中,简装修,1998,无 ,个人产权,普通住宅,开间,板楼,安宁,0,83.0,11690.0
3室2厅1卫,126.44,西南,中,,,有 ,,,,,安宁,1,149.0,11784.0
2室1厅1卫,91.63,南北,中,精装修,2003,有 ,商品房,普通住宅,,板楼,七里河,1,109.0,11896.0
2室2厅1卫,93.3,南北,中,简装修,2012,有 ,个人产权,普通住宅,平层,板楼,城关,1,130.0,13934.0
2室2厅1卫,111.0,南,高,毛坯,2016,有 ,商品房,普通住宅,平层,钢混,城关,1,130.0,11712.0
3室2厅2卫,115.73,南,中,简装修,2015,有 ,商品房,普通住宅,平层,塔板结合,安宁,0,140.0,12097.0
4室2厅2卫,136.86,南,高,精装修,2015,有 ,商品房,普通住宅,平层,塔板结合,安宁,0,157.0,11472.0
2室2厅1卫,80.0,南,中,精装修,2017,无 ,商品房,普通住宅,平层,板楼,城关,0,80.0,10000.0
2室2厅2卫,93.56,南北,高,精装修,2004,无 ,商品房,,,板楼,城关,1,118.0,12612.0
2室1厅1卫,82.37,南北,中,简装修,2004,有 ,个人产权,普通住宅,平层,板楼,城关,1,105.0,12747.0
3室2厅1卫,115.0,南北,低,简装修,1995,无 ,商品房,普通住宅,平层,砖混,城关,1,135.0,11739.0
3室2厅2卫,118.0,南北,低,精装修,2010,有 ,商品房,,,板楼,安宁,0,156.0,13220.0
3室2厅1卫,98.0,南北,中,精装修,2020,有 ,个人产权,普通住宅,平层,板楼,七里河,0,98.0,10000.0
2室2厅1卫,119.0,南北,高,中装修,2002,有 ,个人产权,普通住宅,平层,钢混,城关,1,121.5,10210.0
2室2厅1卫,85.0,南北,中,毛坯,2013,有 ,商品房,普通住宅,平层,板楼,七里河,1,110.0,12941.0
2室1厅1卫,94.0,南,低,中装修,2007,有 ,个人产权,普通住宅,平层,板楼,城关,1,155.0,16489.0
2室2厅1卫,89.0,南北,低,,,无 ,,,,,七里河,0,85.0,9551.0
2室2厅1卫,112.0,南北,高,,,有 ,,,,,榆中,0,62.0,5536.0
2室2厅2卫,85.0,南北,低,中装修,2000,无 ,个人产权,普通住宅,平层,钢混,城关,1,125.0,14706.0
3室2厅2卫,120.0,南北,中,,,有 ,,,,,西固,0,116.0,9667.0
2室2厅1卫,96.0,东西,中,精装修,2004,无 ,个人产权,普通住宅,平层,板楼,安宁,0,127.5,13281.0
3室2厅1卫,143.16,南北,中,精装修,2006,有 ,个人产权,普通住宅,平层,钢混,城关,0,149.5,10443.0
2室2厅1卫,70.0,东西,高,简装修,2000,有 ,商品房,普通住宅,,板楼,七里河,1,94.9,13557.0
3室2厅2卫,112.0,南北,中,,,有 ,,,,,榆中,0,56.0,5000.0
2室2厅2卫,103.0,东西,高,精装修,2000,有 ,个人产权,普通住宅,平层,板楼,城关,1,119.0,11553.0
3室2厅2卫,124.0,南北,低,毛坯,2020,有 ,商品房,普通住宅,平层,钢混,城关,0,122.0,9839.0
4室2厅2卫,138.0,南北,中,,,有 ,,,,,榆中,0,85.0,6159.0
1室1厅1卫,61.75,西,高,毛坯,2015,有 ,经济适用房,普通住宅,平层,,七里河,0,45.0,7287.0
3室2厅1卫,113.0,南北,中,精装修,2008,有 ,商品房,普通住宅,,板楼,七里河,1,166.0,14690.0
