户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
暂无,100.57平米,南北,中层,精装修,2012年,无 ,商品房,普通住宅,,板楼,城关,1,168, 16705元/平米 
2室1厅1卫,90.56平米,西北,高层,精装修,2012年,有 ,商品房,普通住宅,,板楼,七里河,1,140, 15459元/平米 
2室1厅1卫,66.41平米,南北,高层,简装修,2020年,有 ,商品房,普通住宅,平层,板楼,城关,0,107, 16112元/平米 
3室2厅2卫,148.00平米,南北,低楼层,暂无,,,,,,,城关,1,118,7973元/平米
3室2厅1卫,106.00平米,南北,低楼层,暂无,,,,,,,城关,0,115,10849元/平米
3室1厅1卫,65平米,东西,低层,精装修,1995年,无 ,个人产权,普通住宅,平层,砖混,城关,1,88, 13538元/平米 
3室2厅1卫,108平米,南北,低层,简装修,2005年,有 ,商品房,普通住宅,,板楼,城关,1,175, 16204元/平米 
2室1厅1卫,75平米,东北,高层,中装修,2000年,无 ,房改房,普通住宅,平层,,城关,1,79.8, 10640元/平米 
3室2厅1卫,95.00平米,南北,中楼层,暂无,,,,,,,七里河,0,92,9684元/平米
3室1厅1卫,103.67平米,南北,高层,简装修,2002年,无 ,商品房,普通住宅,,板楼,七里河,0,143, 13794元/平米 
2室2厅1卫,91.85平米,东西,高层,简装修,2005年,无 ,商品房,普通住宅,平层,钢混,城关,1,108, 11758元/平米 
2室1厅1卫,78平米,南北,中层,中装修,2000年,无 ,商品房,,平层,,城关,1,85, 10897元/平米 
3室2厅2卫,135.00平米,南北,中楼层,暂无,,,,,,,新区,0,67,4963元/平米
2室1厅1卫,58平米,南北,低层,简装修,,有 ,个人产权,普通住宅,平层,板楼,城关,0,75, 12931元/平米 
2室2厅1卫,82平米,南北,中层,简装修,2003年,无 ,个人产权,普通住宅,平层,钢混,城关,1,92, 11220元/平米 
3室2厅2卫,126.02平米,南北,中层,精装修,2005年,有 ,商品房,普通住宅,平层,板楼,城关,0,235, 18648元/平米 
3室2厅2卫,103.00平米,东,中楼层,暂无,,,,,,,红古,0,58,5631元/平米
2室2厅1卫,105.00平米,南北,高楼层,暂无,,,,,,,安宁区,0,86,8190元/平米
2室2厅1卫,85.00平米,南北,中楼层,暂无,,,,,,,西固区,0,84,9882元/平米
3室2厅1卫,108.48平米,南北,低层,中装修,2006年,有 ,个人产权,普通住宅,平层,钢混,城关,1,173, 15948元/平米 
2室1厅1卫,85.77平米,南北,高层,简装修,2002年,有 ,个人产权,普通住宅,平层,板楼,城关,1,76, 8861元/平米 
2室1厅1卫,115.60平米,南,低楼层,暂无,,,,,,,七里河,0,100,8651元/平米
3室2厅2卫,131.18平米,南北,中层,毛坯,2015年,有 ,个人产权,普通住宅,平层,板楼,安宁,0,179.8, 13706元/平米 
2室1厅1卫,69平米,南北,低层,精装修,2008年,有 ,个人产权,普通住宅,平层,板楼,城关,1,90, 13043元/平米 
2室1厅1卫,75平米,南北,高层,简装修,2005年,无 ,商品房,普通住宅,平层,板楼,城关,1,95, 12667元/平米 
3室2厅2卫,133平米,南,高层,简装修,2010年,有 ,商品房,普通住宅,平层,板楼,城关,1,155, 11654元/平米 
2室1厅1卫,110.00平米,南北,高楼层,暂无,,,,,,,城关,0,90,8182元/平米
3室2厅1卫,103平米,南北,高层,简装修,2002年,无 ,个人产权,普通住宅,平层,板楼,城关,1,130, 12621元/平米 
2室2厅1卫,120平米,南北,低层,简装修,2005年,无 ,房改房,普通住宅,平层,,城关,0,160, 13333元/平米 
2室2厅1卫,95.57平米,东西,高层,中装修,2000年,无 ,商品房,普通住宅,平层,,城关,0,119, 12452元/平米 
2室1厅1卫,60平米,北,高层,简装修,2009年,无 ,普通商品房,普通住宅,平层,板楼,城关,1,116, 19333元/平米 
2室2厅1卫,107平米,南,高层,精装修,2012年,有 ,个人产权,普通住宅,平层,板楼,城关,0,155, 14486元/平米 
2室1厅1卫,80平米,南北,中层,精装修,2004年,有 ,个人产权,普通住宅,平层,板楼,城关,1,83, 10375元/平米 
2室2厅1卫,93.8平米,南,高层,精装修,2008年,无 ,个人产权,普通住宅,平层,砖混,城关,1,136, 14499元/平米 
3室2厅3卫,185平米,南北,低层,豪华装修,2017年,有 ,个人产权,普通住宅,平层,塔板结合,城关,0,200, 10811元/平米 
2室2厅1卫,105.43平米,东北,高层,简装修,2008年,有 ,商品房,,,板楼,城关,1,181, 17168元/平米 
2室1厅1卫,92.81平米,南,低层,精装修,2002年,有 ,商品房,普通住宅,平层,平房,城关,1,108, 11637元/平米 
3室1厅1卫,88.80平米,南北,高楼层,暂无,,,,,,,城关,1,96,10811元/平米
3室2厅2卫,141平米,东南,低层,简装修,2004年,有 ,商品房,普通住宅,平层,板楼,城关,1,215, 15248元/平米 
